Chapter number,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
Chapter 1,gato,dursley,niño,calle,taladros,mantas,moto,esquina,drive,privet,profesora,señor,hermana,hijo,número
Chapter 2,piers,dudley,vidrio,vernon,tía,petunia,serpiente,menudo,alacena,cocina,tío,figg,zoológico,coche,bicicleta
Chapter 3,vernon,tío,dudley,cartas,petunia,bastón,tía,alacena,smeltings,carta,cocina,uniforme,buzón,factura,hotel
Chapter 4,vernon,tío,irá,sofá,paraguas,lily,gigante,mago,misterio,salchichas,dudley,madre,acabó,despectiva,galopantes
Chapter 5,ollivander,griphook,tienda,monedas,tiendas,hagrid,duende,fénix,chorreante,centímetros,madame,malkin,caldero,galeones,mostrador
Chapter 6,andén,ron,carrito,compartimiento,tren,ventanilla,nueve,cuartos,andenes,baúl,scabbers,muchachos,barrera,king,pelirrojos
Chapter 7,sombrero,percy,taburete,fantasma,ceremonia,selección,aplaudió,comido,decapitado,seleccionador,abuelo,algie,fraile,ganchuda,hannah
Chapter 8,fang,snape,poción,bezoar,viernes,caldero,ron,acónito,ajenjo,ajo,asalto,asfódelo,cerilla,exacto,fríos
Chapter 9,trofeos,malfoy,escoba,recordadora,wood,peeves,neville,ron,filch,hooch,bola,abuela,duelo,ja,padrino
Chapter 10,trol,wood,bludgers,quaffle,cazadores,aros,ron,bastón,pelotas,nimbus,paquete,hermione,deforme,pelota,volar
Chapter 11,flint,quaffle,bludger,marcus,snitch,binoculares,cazadora,johnson,snape,escoba,dean,wood,angelina,posesión,pucey
Chapter 12,espejo,navidad,ron,jersey,flamel,muestra,piezas,prohibida,sección,capa,familia,ajedrez,oesed,imagen,pince
Chapter 13,snape,flamel,filosofal,ron,árbitro,hacerle,neville,partido,hermione,piedra,malfoy,wood,snitch,abracadabra,alcanzar
Chapter 14,norberto,dragón,charlie,noruego,ridgeback,dragones,huevo,jaula,hermione,osito,ron,hagrid,fluffy,brandy,malfoy
Chapter 15,ronan,unicornio,bane,firenze,centauro,sendero,fang,bosque,centauros,árboles,neville,hermione,malfoy,figura,lobo
Chapter 16,piezas,planta,hermione,ron,fluffy,llaves,trampilla,blancas,reina,tablero,flauta,exámenes,llave,negras,snape
Chapter 17,espejo,quirrell,voldemort,piedra,sogas,premio,cuatrocientos,señorita,estación,matarte,llegué,pomfrey,sonrió,snape,verano
